ts,value
2016-07-10 09:47:22,29728
2016-07-10 09:48:22,29728
2016-07-10 09:49:23,29728
2016-07-10 09:50:24,29728
2016-07-10 09:51:24,29728
2016-07-10 09:52:25,29728
2016-07-10 09:53:26,29728
2016-07-10 09:54:28,29728
2016-07-10 09:55:28,29728
2016-07-10 09:56:28,29728
2016-07-10 09:57:29,29728
2016-07-10 09:58:30,29728
2016-07-10 09:59:30,29728
2016-07-10 10:00:31,29728
2016-07-10 10:01:31,29728
2016-07-10 10:02:32,29728
2016-07-10 10:03:33,29728
2016-07-10 10:04:33,29728
2016-07-10 10:05:35,29728
2016-07-10 10:06:35,29728
2016-07-10 10:07:35,29728
2016-07-10 10:08:36,29728
2016-07-10 10:09:37,29728
2016-07-10 10:10:37,29728
2016-07-10 10:11:38,29728
2016-07-10 10:12:42,29728
2016-07-10 10:13:39,29728
2016-07-10 10:14:40,29729
2016-07-10 10:15:40,29729
2016-07-10 10:16:41,29729
2016-07-10 10:17:42,29730
2016-07-10 10:18:42,29730
2016-07-10 10:19:43,29730
2016-07-10 10:20:43,29730
2016-07-10 10:21:44,29730
2016-07-10 10:22:45,29730
2016-07-10 10:23:45,29730
2016-07-10 10:24:46,29730
2016-07-10 10:25:47,29730
2016-07-10 10:26:47,29730
2016-07-10 10:27:48,29730
2016-07-10 10:28:49,29730
2016-07-10 10:29:49,29730
2016-07-10 10:30:50,29730
2016-07-10 10:31:50,29730
2016-07-10 10:32:51,29730
2016-07-10 10:36:02,29730
2016-07-10 10:37:03,29732
2016-07-10 10:38:03,29734
2016-07-10 10:39:04,29735
2016-07-10 10:40:05,29737
2016-07-10 10:41:05,29739
2016-07-10 10:42:06,29739
2016-07-10 10:43:07,29740
2016-07-10 10:44:07,29740
2016-07-10 10:45:08,29742
2016-07-10 10:46:09,29743
2016-07-10 10:47:09,29743
2016-07-10 10:48:10,29744
2016-07-10 10:49:11,29746
2016-07-10 10:50:11,29748
2016-07-10 10:51:12,29748
2016-07-10 10:52:13,29749
2016-07-10 10:53:13,29749
2016-07-10 10:54:14,29750
2016-07-10 10:56:24,29751
2016-07-10 10:57:25,29751
2016-07-10 10:58:26,29752
2016-07-10 10:59:27,29752
2016-07-10 11:00:27,29752
2016-07-10 11:01:28,29754
2016-07-10 11:02:29,29755
2016-07-10 11:03:29,29755
2016-07-10 11:04:30,29756
2016-07-10 11:05:30,29756
2016-07-10 11:06:31,29757
2016-07-10 11:07:32,29757
2016-07-10 11:08:32,29759
2016-07-10 11:09:33,29760
2016-07-10 11:10:34,29760
2016-07-10 11:11:34,29761
2016-07-10 11:12:35,29761
2016-07-10 11:13:36,29761
2016-07-10 11:14:36,29762
2016-07-10 11:15:37,29762
2016-07-10 11:16:38,29762
2016-07-10 11:17:38,29762
2016-07-10 11:18:39,29763
2016-07-10 11:19:40,29763
2016-07-10 11:20:40,29763
2016-07-10 11:21:41,29764
2016-07-10 11:22:41,29768
2016-07-10 11:23:42,29771
2016-07-10 11:24:43,29773
2016-07-10 11:25:44,29774
2016-07-10 11:26:44,29775
2016-07-10 11:27:45,29776
2016-07-10 11:28:45,29779
2016-07-10 11:29:46,29780
2016-07-10 11:30:47,29780
2016-07-10 11:31:47,29780
2016-07-10 11:32:48,29780
2016-07-10 11:33:49,29780
2016-07-10 11:34:49,29780
2016-07-10 11:35:50,29780
2016-07-10 11:36:50,29780
2016-07-10 11:37:51,29780
2016-07-10 11:38:52,29780
2016-07-10 11:39:53,29781
2016-07-10 11:40:53,29781
2016-07-10 11:41:54,29783
2016-07-10 11:42:55,29784
2016-07-10 11:43:55,29786
2016-07-10 11:44:57,29789
2016-07-10 11:45:57,29790
2016-07-10 11:46:57,29792
2016-07-10 11:47:58,29792
2016-07-10 11:48:58,29792
2016-07-10 11:49:59,29792
2016-07-10 11:51:00,29792
2016-07-10 11:52:00,29792
2016-07-10 11:53:01,29792
2016-07-10 11:54:02,29792
2016-07-10 11:55:02,29792
2016-07-10 11:56:03,29792
2016-07-10 11:57:03,29792
2016-07-10 11:58:04,29792
2016-07-10 11:59:05,29792
2016-07-10 12:00:06,29793
2016-07-10 12:01:06,29796
2016-07-10 12:02:07,29797
2016-07-10 12:03:07,29799
2016-07-10 12:04:08,29802
2016-07-10 12:05:08,29805
2016-07-10 12:06:09,29808
2016-07-10 12:07:12,29808
2016-07-10 12:08:10,29810
2016-07-10 12:09:11,29810
2016-07-10 12:10:12,29810
2016-07-10 12:11:12,29810
2016-07-10 12:12:13,29810
2016-07-10 12:13:14,29811
2016-07-10 12:14:14,29813
2016-07-10 12:15:15,29813
2016-07-10 12:16:15,29813
2016-07-10 12:17:17,29814
2016-07-10 12:18:17,29815
2016-07-10 12:19:18,29821
2016-07-10 12:20:19,29826
2016-07-10 12:21:23,29829
2016-07-10 12:22:20,29829
2016-07-10 12:23:20,29829
2016-07-10 12:24:21,29829
2016-07-10 12:25:21,29829
2016-07-10 12:26:22,29829
2016-07-10 12:27:23,29829
2016-07-10 12:28:23,29829
2016-07-10 12:29:24,29829
2016-07-10 12:30:25,29829
2016-07-10 12:31:26,29829
2016-07-10 12:32:26,29829
2016-07-10 12:33:26,29829
2016-07-10 12:34:27,29829
2016-07-10 12:35:28,29829
2016-07-10 12:36:29,29829
2016-07-10 12:37:29,29829
2016-07-10 12:38:30,29829
2016-07-10 12:39:30,29829
2016-07-10 12:40:31,29829
2016-07-10 12:41:31,29829
2016-07-10 12:42:32,29829
2016-07-10 12:43:33,29829
2016-07-10 12:44:34,29829
2016-07-10 12:46:47,29829
2016-07-10 12:47:48,29829
2016-07-10 12:48:48,29829
2016-07-10 12:49:49,29829
2016-07-10 12:50:50,29829
2016-07-10 12:51:53,29829
2016-07-10 12:52:51,29829
2016-07-10 12:53:51,29833
2016-07-10 12:54:52,29833
2016-07-10 12:55:53,29833
2016-07-10 12:56:53,29833
2016-07-10 12:57:54,29835
2016-07-10 12:58:55,29835
2016-07-10 12:59:55,29835
2016-07-10 13:00:57,29837
2016-07-10 13:01:58,29839
2016-07-10 13:02:57,29839
2016-07-10 13:03:58,29839
2016-07-10 13:04:59,29839
2016-07-10 13:05:59,29839
2016-07-10 13:07:00,29839
2016-07-10 13:08:01,29839
2016-07-10 13:09:01,29839
2016-07-10 13:10:02,29839
2016-07-10 13:11:03,29839
2016-07-10 13:12:03,29839
2016-07-10 13:13:04,29839
2016-07-10 13:14:05,29839
2016-07-10 13:15:05,29839
2016-07-10 13:16:06,29839
2016-07-10 13:17:06,29839
2016-07-10 13:18:07,29839
2016-07-10 13:19:08,29839
2016-07-10 13:20:08,29839
2016-07-10 13:21:09,29839
2016-07-10 13:22:10,29839
2016-07-10 13:23:10,29839
2016-07-10 13:24:11,29839
2016-07-10 13:25:12,29839
2016-07-10 13:26:12,29839
2016-07-10 13:27:13,29839
2016-07-10 13:28:14,29839
2016-07-10 13:29:14,29839
2016-07-10 13:30:15,29839
2016-07-10 13:31:15,29839
2016-07-10 13:32:18,29839
2016-07-10 13:33:19,29839
2016-07-10 13:34:19,29839
2016-07-10 13:35:20,29839
2016-07-10 13:36:21,29839
2016-07-10 13:37:21,29840
2016-07-10 13:38:23,29840
2016-07-10 13:39:24,29840
2016-07-10 13:40:24,29840
2016-07-10 13:41:25,29840
2016-07-10 13:42:25,29840
2016-07-10 13:43:26,29840
2016-07-10 13:44:27,29840
2016-07-10 13:45:27,29840
2016-07-10 13:46:28,29840
2016-07-10 13:47:29,29840
2016-07-10 13:48:29,29840
2016-07-10 13:49:30,29840
2016-07-10 13:50:31,29840
2016-07-10 13:51:31,29840
2016-07-10 13:52:33,29840
2016-07-10 13:53:34,29840
2016-07-10 13:54:34,29840
2016-07-10 13:55:38,29840
2016-07-10 13:56:45,29840
2016-07-10 13:57:36,29840
2016-07-10 13:58:37,29840
2016-07-10 13:59:37,29840
2016-07-10 14:00:38,29840
2016-07-10 14:01:39,29840
2016-07-10 14:02:40,29840
2016-07-10 14:03:40,29840
2016-07-10 14:04:41,29840
2016-07-10 14:05:42,29840
2016-07-10 14:06:42,29840
2016-07-10 14:07:43,29840
2016-07-10 14:08:44,29840
2016-07-10 14:09:44,29840
2016-07-10 14:10:45,29840
2016-07-10 14:11:46,29840
2016-07-10 14:12:46,29841
2016-07-10 14:13:47,29841
2016-07-10 14:14:48,29842
2016-07-10 14:15:48,29842
2016-07-10 14:16:49,29843
2016-07-10 14:17:49,29843
2016-07-10 14:18:50,29844
